fim_projeto,prazo_dias_corridos,RH,FINANCE,SUPPLY_CHAIN,COMERCIAL_2
31/03/2027,388,Squad 5,Squad 3,Squad 4,Squad 4
31/03/2027,388,Squad 5,Squad 5,Squad 1,Squad 4
31/03/2027,388,Squad 5,Squad 5,Squad 4,Squad 4
01/04/2027,389,Squad 5,Squad 1,Squad 5,Squad 5
01/04/2027,389,Squad 5,Squad 5,Squad 5,Squad 5
02/04/2027,390,Squad 5,Squad 1,Squad 1,Squad 5
02/04/2027,390,Squad 5,Squad 5,Squad 1,Squad 5
19/04/2027,407,Squad 1,Squad 2,Squad 1,Squad 3
19/04/2027,407,Squad 1,Squad 2,Squad 1,Squad 5
19/04/2027,407,Squad 1,Squad 3,Squad 1,Squad 2
19/04/2027,407,Squad 1,Squad 3,Squad 1,Squad 5
19/04/2027,407,Squad 1,Squad 4,Squad 1,Squad 2
19/04/2027,407,Squad 1,Squad 4,Squad 1,Squad 3
19/04/2027,407,Squad 1,Squad 4,Squad 1,Squad 5
19/04/2027,407,Squad 1,Squad 5,Squad 1,Squad 2
19/04/2027,407,Squad 1,Squad 5,Squad 1,Squad 3
19/04/2027,407,Squad 1,Squad 5,Squad 1,Squad 5
20/04/2027,408,Squad 4,Squad 1,Squad 4,Squad 2
20/04/2027,408,Squad 4,Squad 1,Squad 4,Squad 3
20/04/2027,408,Squad 4,Squad 1,Squad 4,Squad 5
20/04/2027,408,Squad 4,Squad 2,Squad 4,Squad 2
20/04/2027,408,Squad 4,Squad 2,Squad 4,Squad 3
20/04/2027,408,Squad 4,Squad 2,Squad 4,Squad 5
20/04/2027,408,Squad 4,Squad 3,Squad 4,Squad 2
20/04/2027,408,Squad 4,Squad 3,Squad 4,Squad 3
20/04/2027,408,Squad 4,Squad 3,Squad 4,Squad 5
20/04/2027,408,Squad 4,Squad 5,Squad 4,Squad 2
20/04/2027,408,Squad 4,Squad 5,Squad 4,Squad 3
20/04/2027,408,Squad 4,Squad 5,Squad 4,Squad 5
27/04/2027,415,Squad 1,Squad 3,Squad 3,Squad 3
27/04/2027,415,Squad 3,Squad 1,Squad 3,Squad 3
27/04/2027,415,Squad 3,Squad 3,Squad 3,Squad 3
28/04/2027,416,Squad 1,Squad 3,Squad 1,Squad 3
28/04/2027,416,Squad 3,Squad 1,Squad 1,Squad 3
28/04/2027,416,Squad 3,Squad 3,Squad 1,Squad 3
29/04/2027,417,Squad 1,Squad 2,Squad 1,Squad 2
29/04/2027,417,Squad 1,Squad 2,Squad 2,Squad 2
29/04/2027,417,Squad 2,Squad 1,Squad 1,Squad 2
29/04/2027,417,Squad 2,Squad 1,Squad 1,Squad 4
29/04/2027,417,Squad 2,Squad 1,Squad 2,Squad 2
29/04/2027,417,Squad 2,Squad 1,Squad 4,Squad 4
29/04/2027,417,Squad 2,Squad 2,Squad 1,Squad 2
29/04/2027,417,Squad 2,Squad 2,Squad 2,Squad 2
29/04/2027,417,Squad 2,Squad 4,Squad 1,Squad 4
29/04/2027,417,Squad 2,Squad 4,Squad 4,Squad 4
29/04/2027,417,Squad 3,Squad 1,Squad 1,Squad 4
29/04/2027,417,Squad 3,Squad 1,Squad 4,Squad 4
29/04/2027,417,Squad 3,Squad 4,Squad 1,Squad 4
29/04/2027,417,Squad 3,Squad 4,Squad 4,Squad 4
29/04/2027,417,Squad 5,Squad 1,Squad 1,Squad 4
29/04/2027,417,Squad 5,Squad 1,Squad 4,Squad 4
29/04/2027,417,Squad 5,Squad 4,Squad 1,Squad 4
29/04/2027,417,Squad 5,Squad 4,Squad 4,Squad 4
17/05/2027,435,Squad 1,Squad 2,Squad 1,Squad 4
17/05/2027,435,Squad 1,Squad 3,Squad 1,Squad 4
17/05/2027,435,Squad 1,Squad 5,Squad 1,Squad 4
17/05/2027,435,Squad 4,Squad 2,Squad 4,Squad 4
17/05/2027,435,Squad 4,Squad 3,Squad 4,Squad 4
17/05/2027,435,Squad 4,Squad 5,Squad 4,Squad 4
18/05/2027,436,Squad 1,Squad 2,Squad 4,Squad 4
18/05/2027,436,Squad 1,Squad 3,Squad 4,Squad 4
18/05/2027,436,Squad 1,Squad 5,Squad 4,Squad 4
18/05/2027,436,Squad 4,Squad 2,Squad 1,Squad 4
18/05/2027,436,Squad 4,Squad 3,Squad 1,Squad 4
18/05/2027,436,Squad 4,Squad 5,Squad 1,Squad 4
14/06/2027,463,Squad 4,Squad 4,Squad 1,Squad 4
15/06/2027,464,Squad 1,Squad 1,Squad 4,Squad 4
16/06/2027,465,Squad 1,Squad 4,Squad 1,Squad 4
16/06/2027,465,Squad 1,Squad 4,Squad 4,Squad 4
16/06/2027,465,Squad 4,Squad 1,Squad 1,Squad 4
16/06/2027,465,Squad 4,Squad 1,Squad 4,Squad 4
17/06/2027,466,Squad 1,Squad 1,Squad 1,Squad 2
17/06/2027,466,Squad 1,Squad 1,Squad 1,Squad 3
17/06/2027,466,Squad 1,Squad 1,Squad 1,Squad 4
17/06/2027,466,Squad 1,Squad 1,Squad 1,Squad 5
17/06/2027,466,Squad 4,Squad 4,Squad 4,Squad 2
17/06/2027,466,Squad 4,Squad 4,Squad 4,Squad 3
17/06/2027,466,Squad 4,Squad 4,Squad 4,Squad 4
17/06/2027,466,Squad 4,Squad 4,Squad 4,Squad 5
