chave,titulo,squad,squad_original,lake,fase,recurso,mediana_usada,data_inicio,data_fim,duracao_dias,status_atual
BF3E4-2750,[COMERCIAL - 64] BR Cadastros de Respostas e Metadados - TAMANHO: G,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 19,"3,54 dias",01/06/2026,04/06/2026,3.54,IN DEVELOPMENT
BF3E4-7133,[COMERCIAL - 48] Plan de Ahorro (Consórcio) - Completo - TAMANHO: G,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 20,"3,54 dias",01/06/2026,04/06/2026,3.54,IN DEVELOPMENT
BF3E4-2698,[COMERCIAL - 60] Preços e Mercado - TAMANHO: G,SQUAD_6,SQUAD_6,COMERCIAL,Dev,Dev 13 - Squad 6,"7,01 dias",24/05/2026,31/05/2026,7.01,To Do
BF3E4-2698,[COMERCIAL - 60] Preços e Mercado - TAMANHO: G,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 21,"3,54 dias",01/06/2026,04/06/2026,3.54,To Do
BF3E4-2939,[COMERCIAL - 79] QFS Brasil - Metadata e Population (Staging e DataMart) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,Dev,Dev 14 - Squad 6,"7,01 dias",24/05/2026,31/05/2026,7.01,Open
BF3E4-2939,[COMERCIAL - 79] QFS Brasil - Metadata e Population (Staging e DataMart) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 17,"3,54 dias",01/06/2026,04/06/2026,3.54,Open
BF3E4-2954,[COMERCIAL - 80] QFS Brasil - Respondent (Staging e DataMart) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,Dev,Dev 15 - Squad 6,"7,01 dias",24/05/2026,31/05/2026,7.01,Open
BF3E4-2954,[COMERCIAL - 80] QFS Brasil - Respondent (Staging e DataMart) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 22,"3,54 dias",01/06/2026,04/06/2026,3.54,Open
BF3E4-2965,[COMERCIAL - 81] QFS Brasil - Respondent (Analytics) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,Dev,Dev 16 - Squad 6,"7,01 dias",24/05/2026,31/05/2026,7.01,Open
BF3E4-2965,[COMERCIAL - 81] QFS Brasil - Respondent (Analytics) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 23,"3,54 dias",01/06/2026,04/06/2026,3.54,Open
BF3E4-2972,[COMERCIAL - 82] QFS Brasil - Checkbox (Staging e DataMart) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,Dev,Dev 17 - Squad 6,"7,01 dias",24/05/2026,31/05/2026,7.01,Open
